title,content
Predicting Myriad Diseases From a Single Drop of Blood,"By Dennis Thompson HealthDay Reporter

HealthDay

TUESDAY, July 23, 2024 (HealthDay News) -- A single drop of blood might be able to predict the onset of dozens of diseases, a new study claims.

Analysis of the protein “signatures” in a droplet of blood can predict 67 diseases, including blood cancers, degenerative nerve diseases, lung disease and heart failure, researchers reported July 22 in the journal Nature Medicine.

For the study, researchers analyzed the blood proteins of more than 40,000 randomly selected participants in the ongoing UK Biobank study.

Looking at the participants’ electronic health records, researchers pinpointed 5 to 20 proteins most closely associated with each disease.

These protein “signatures” outperformed other standard tests that used measures like blood cell counts, cholesterol levels, kidney function and blood sugar levels to predict the 67 diseases, researchers report.

“Several of our protein signatures performed similar or even better than proteins already trialled for their potential as screening tests, such as prostate specific antigen for prostate cancer,” said lead researcher Julia Carrasco Zanini Sanchez, a postdoctoral researcher with the Precision Healthcare University Research Institute at Queen Mary University of London.

“We are therefore extremely excited about the opportunities that our protein signatures may have for earlier detection and ultimately improved prognosis for many diseases,” Sanchez added in a university news release.

Such a simple blood test could not only improve early detection of diseases, but might also help in the search for new medicines, said senior researcher Robert Scott, vice president and head of human genetics and genomics at the pharmaceutical company GSK.

“A key challenge in drug development is the identification of patients most likely to benefit from new medicines,” Scott said.

Protein blood tests could be used “to identify individuals at high risk across a wide range of diseases, and aligns with our approach to use tech to deepen our understanding of human biology and disease,” Scott added.

However, the researchers said their findings need to be validated in different groups of people, including folks from different ethnic groups and with varying levels of symptoms for different diseases.

More information

The Cleveland Clinic has more on blood tests for disease.

SOURCE: Queen Mary University of London, news release, July 22, 2024"
Scientists May Have Stopped a Form of Inherited Blindness in Dogs,"By Ernie Mundell HealthDay Reporter

HealthDay

MONDAY, July 22, 2024 (HealthDay News) -- In her youth, Shola, an English Shepherd Dog, was a member of the Edale Mountain Rescue Team, a corps of U.K. pooches charged with helping hurt and stranded hikers.

But Shola was retired as part of the Rescue Team after a rare genetic disease affecting dogs, called progressive retinal atrophy (PRA), robbed her of her sight.

It's too late for Shola, but new research has led to a gene test that could prevent the disease from ever being passed down to puppies -- perhaps someday eliminating PRA from dog populations for good.

“Once the dog’s eyesight starts to fail, there’s no treatment – it will end up totally blind,” explained study first author Dr. Katherine Stanbury, a veterinary researcher at the University of Cambridge.

Often an owner may not even realize their dog has PRA until middle-age, long after puppy breeding may have occurred.

However, “now we have a DNA test, there’s no reason why another English Shepherd Dog ever needs to be born with this form of progressive retinal atrophy – it gives breeders a way of totally eliminating the disease,"" Stanbury said in a Cambridge news release.

The key was pinpointing which gene or genes led to the vision-robbing condition.

Stanbury's team did so by comparing DNA samples from six English Shepherds with PRA and 20 without it.

The Cambridge group was already well situated for this kind of research, because they offer a service that helps dog owners make sure breeding doesn't produce puppies with troublesome genes.

They quickly spotted the gene driving PRA in English Shepherds, and then devised a commercial mouth-swab test that helps owners determine if their dog carries this DNA.

The gene in question is recessive, meaning that both the male and female dog involved in breeding must carry the gene before it can trigger PRA in a puppy.

But since dogs are very inbred, the odds of that happening are much higher than among species such as humans, the Cambridge team noted.

However, “for the price of a decent bag of dog food people can now have their English Shepherd tested for Progressive Retinal Atrophy prior to breeding,"" said senior study author and Cambridge veterinary researcher Dr. Cathryn Mellersh.

'It’s about prevention, rather than a cure, and it means a huge amount to the people who breed these dogs,"" she added. ""They no longer need to worry about whether the puppies are going to be healthy or are going to develop this horrible disease in a few years’ time.”

The Cambridge group noted that PRA is closely related to an eye disease found in people called retinitis pigmentosa, so insights into human vision loss may arise from this research.

As for Shola, although she's no longer rescuing stranded hikers, her daughters are clear of PRA and just completed training with Mountain Rescue Search Dogs England. In fact, ""one of them saved a man’s life three weeks ago,"" according to the Cambridge news release.

The study was published July 21 in the journal Genes.

More information

Find out more about PRA at Cornell University's Richard P. Riney Canine Health Center

SOURCE: University of Cambridge, news release, July 21, 2024"
Too Many Breast Cancer Survivors Miss Out on Genetic Screening,"By Dennis Thompson HealthDay Reporter

HealthDay

FRIDAY, July 19, 2024 (HealthDay News) -- Many breast cancer patients aren’t getting genetic counseling and testing that could help them get the most effective treatment, a new study finds.

Only three-quarters of patients eligible for genetic testing after their breast cancer diagnosis actually received it, researchers reported July 15 in the Journal of Clinical Oncology.

Further, just over half of breast cancer survivors eligible for testing during follow-up care received a genetic screening.

“Our findings support a rapidly growing movement to simplify clinical guidelines to increase access to genetic testing and clinical impact of the results after diagnosis and into survivorship,” said lead researcher Dr. Steven Katz, a professor of internal medicine and of health management and policy at the University of Michigan.

Certain genetic mutations can increase a woman’s risk for breast cancer, the American Cancer Society says. The best-known are BRCA gene mutations, which cause 5% to 10% of breast cancers and for which specific treatments have been developed.

Genetic tests can help guide treatment, as well as follow-up care and screening, researchers said. The results can also be used to warn other family members of potential increased risk for cancer.

For this study, researchers surveyed more than 1,400 women at seven months and at six years after they were diagnosed with early-stage breast cancer.

The team found many women aren’t getting the gene testing for which they’re eligible, both at diagnosis and following treatment.

“Genetic risk evaluation and testing can fall through the cracks during survivorship as patients’ needs for ongoing treatments, managing the side effects of treatments and monitoring for recurrence or progression grow,” senior researcher Lauren Wallner, an associate professor of internal medicine and epidemiology at Michigan, said in a university news release.

At the same time, about a third of patients for whom genetic testing wouldn’t be recommended got it anyway, results showed.

There was some good news -- among those who got testing, nearly two-thirds who had a genetic variant reached out to family members to talk about their results, researchers said.

Results also showed that few people are interested in direct-to-consumer genetic tests, which are not as sophisticated as genetic testing and counseling at hospitals and clinics, researchers said.

More information

The American Cancer Society has more about genetic testing for breast cancer risk.

SOURCE: University of Michigan, news release, July 16, 2024"
Current Gene Screens Miss Many at High Cancer Risk: Study,"By Ernie Mundell HealthDay Reporter

HealthDay

THURSDAY, July 19, 2024 (HealthDay News) -- As good as many genetic tests might be, a deeper look at the DNA of over 44,000 people identified many who carried genes that hike their risks for cancer, researchers said.

""This study is a wake-up call, showing us that current national guidelines for genetic screenings are missing too many people at high risk of cancer,"" said lead author Dr. Niloy Jewel Samadder. He's a Mayo Clinic gastroenterologist and cancer geneticist at the Center for Individualized Medicine and the Mayo Clinic Comprehensive Cancer Center.

""Early detection of genetic markers for these conditions can lead to proactive screenings and targeted therapies, potentially saving lives of people and their family members,"" Samadder said in a Mayo Clinic news release.

The study is part of the Tapestry project at the Mayo Clinic's Center for Individualized Medicine. This research initiative goes beyond the genome to look at each patient's exome -- the protein-coding regions of individual genes.

The project has already sequenced the exomes of more than 100,000 patients, Mayo noted in a news release.

In the latest study, Samadder and his colleagues focused on the exome because it is the most likely area for mutations that give rise to disease.

They looked at the exomes of over 44,000 people of varying backgrounds and found that 550 of them -- about 1.24% -- did carry a hereditary genetic mutation that upped their odds for either breast and/or ovarian cancers or Lynch syndrome, a condition that raises the odds for endometrial and colorectal cancers.

More than half of the people identified as carrying these mutations previously had no idea they were were at risk, and 40% would not have even met the criteria for genetic testing, the authors noted.

Mutations in the BRCA1 and BRCA2 genes have long been known to raise a person's odds for breast and ovarian cancers. As Samadder's team noted, carrying BRCA1 confers a 60% lifetime risk of developing breast cancer and a 40% risk of getting ovarian cancer.

BRCA2 mutations confer a lifetime risk of developing breast cancer of 50% and ovarian cancer of 20%, with additional risks for prostate and pancreatic cancers in men.

Having Lynch syndrome confers an 80% lifetime risk of developing colorectal cancer and 50% risk of uterine/endometrial cancers.

The findings were published July 16 in the journal JCO Precision Oncology.

According to the researchers, minority groups may especially miss out when it comes to screening for genes that raise cancer risks.

""Existing guidelines for genetic testing inadvertently introduce biases that affect who qualifies for testing and who receives coverage through health insurance,"" Samadder said. ""Our results emphasize the importance of expanding genetic screening to identify people at risk for these cancer predisposition syndromes.""

More information

Find out more about gene tests for cancer at the U.S. National Cancer Institute.

SOURCE: Mayo Clinic, news release, July 16, 2024"
Thinking of a Switch Away from Meat? Your Genes May Be Key,"By Dennis Thompson HealthDay Reporter

HealthDay

MONDAY, July 15, 2024 (HealthDay News) -- Pondering a move to a vegetarian or vegan diet? Your heart might be in it, but your genes might not, a new study says.

Genetics are an important part of whether a person responds well or poorly to a vegetarian diet, researchers said.

People with a specific genetic variant can see increased calcium levels after going vegetarian, which typically results in decreased calcium for most, researchers report in the journal PLOS Genetics.

Likewise, another variant saw increased testosterone levels, which typically decline in a majority of vegetarians, researchers said.

But a third variant could cause vegetarians to suffer a decline in kidney function, which usually improves on a plant-based diet, researchers said.

“People with specific and immediate nutritional requirements related to these three traits should consider being tested for the variants we describe in this manuscript and making changes accordingly,” lead researcher Michael Francis, a doctoral graduate of the University of Georgia’s Institute of Bioinformatics, said in a news release.

Francis himself was a vegetarian for seven years in his teens and 20s, but now eats meat as part of his diet.

For the study, researchers analyzed data for more than 150,000 people, identifying 2,300 who followed a strict vegetarian diet.

They found that in general vegetarians have low levels of cholesterol, which is good for heart health.

But a vegetarian diet also is linked to lower vitamin D levels, which can affect bone health and immune function, researchers noted. Vegetarians also have higher levels of triglycerides, a type of fat in the blood that can contribute to heart disease.

Ultimately, researchers concluded that genetics play an important role in diet, so much so that in the future each person might need to follow a highly personalized diet in order to achieve their best health.

“We are building a scientific foundation for personalized nutrition, which optimizes human health at the level of the individual, instead of one-size-fits-all dietary recommendations,” Francis said.

More information

The Cleveland Clinic has more on nutrition and genetics.

SOURCE: University of Georgia, news release, July 11, 2024"
Some Genes Might Send Girls Into Puberty Earlier,"By Dennis Thompson HealthDay Reporter

HealthDay

TUESDAY, July 2, 2024 (HealthDay News) -- A girl’s genetics can indirectly influence the age when she has her first period, by accelerating her weight gain in childhood, a new study finds.

A number of other genes also can directly affect the age of puberty, some with profound effects, researchers added.

More than 1,000 genetic variants are tied to the age of a girl’s first menstrual period, researchers discovered by analyzing the genes of about 800,000 women. About 600 of these variants were observed for the first time in this study.

A girl can have up to 14-fold higher risk of early puberty if her genetics line up that way, according to a genetic risk score researchers created from their findings.

“This is the first time we’ve ever been able to analyze rare genetic variants at this scale,” said lead researcher Katherine Kentistou, a senior research associate with the University of Cambridge’s Medical Research Council Epidemiology Unit.

“We have identified six genes which all profoundly affect the timing of puberty,” she said in a news release. “While these genes were discovered in girls, they often have the same impact on the timing of puberty in boys. The new mechanisms we describe could form the basis of interventions for individuals at risk of early puberty and obesity.”

Girls typically enter puberty typically between 10 and 15 years of age, but this has been getting earlier and earlier in recent decades.

Early puberty is linked with increased risk for many diseases later in life, including type 2 diabetes, heart disease and certain cancers, researchers said in background notes. On the other hand, later puberty has been linked to better adult health and longer lifespan.

In the study, researchers found that 45% of the gene variants that affect puberty do so indirectly by increasing weight gain in youngsters.

“Many of the genes we’ve found influence early puberty by first accelerating weight gain in infants and young children. This can then lead to potentially serious health problems in later life, as having earlier puberty leads to higher rates of overweight and obesity in adulthood,” researcher John Perry, an investigator with the University of Cambridge Medical Research Council Epidemiology Unit, said in a news release.

The team also analyzed rare genetic variants that can have a large effect on puberty.

For example, a variant in the gene ZNF483 can cause women to experience puberty an average 1.3 years later. About 1 in 3,800 women carry this variant, researchers said.

The team also created a genetic score that could predict whether a girl was likely to hit puberty very early or very late.

Girls with the highest 1% of this genetic score were 11 times more likely to reach puberty after age 15, which researchers described as extremely delayed.

Likewise, girls with the lowest 1% genetic score were 14 times more likely to have extremely early puberty before age 10.

“In the future, we may be able to use these genetic scores in the clinic to identify those girls whose puberty will come very early or very late,” senior researcher Ken Ong, an investigator with the University of Cambridge Medical Research Council Epidemiology Unit, said in a news release.

Girls who present with very early puberty can be offered puberty blockers to delay its onset, he said.

“But age of puberty is a continuum, and if they miss this threshold, there’s currently nothing we have to offer,” Ong said. “We need other interventions, whether that’s oral medication or a behavioral approach, to help. This could be important for their health when they grow up.”

The new study was published July 1 in the journal Nature Genetics.

More information

Boston Children’s Hospital has more about precocious puberty.

SOURCE: University of Cambridge, news release, July 2, 2024"
Colombian Family's Genes Could Hold Key to Delaying Alzheimer's,"By Dennis Thompson HealthDay Reporter

HealthDay

THURSDAY, June 20, 2024 (HealthDay News) -- A Colombian family’s genetics are shining a spotlight on a gene that might help protect people from the ravages of Alzheimer’s disease.

About 1,200 out of 6,000 family members carry a genetic variant called the “Paisa mutation,” which dooms them to early Alzheimer’s, researchers said.

But 28 family members with the Paisa mutation dodged early Alzheimer’s, apparently because they carry another gene that protects against the degenerative brain disease, researchers reported June 20 in the New England Journal of Medicine.

The study represents the first evidence that having this other gene -- known as the “Christchurch variant” -- might confer some protection against inherited Alzheimer’s, researchers said.

Drugs and therapies focusing on this genetic pathway might be capable of preventing or treating dementia and Alzheimer’s in others, said co-lead author Yakeel Quiroz, director of the Familial Dementia Neuroimaging Lab at Massachusetts General Hospital.

“As a clinician, I am highly encouraged by our findings, as they suggest the potential for delaying cognitive decline and dementia in older individuals,” Quiroz said in a hospital news release. “Now we must leverage this new knowledge to develop effective treatments for dementia prevention.”

The study focused on variants of the apolipoprotein E (APOE) gene.

The APOE4 variant is known to increase the risk of Alzheimer’s, and is linked to developing a more severe form of dementia, according to the Mayo Clinic.

On the other hand, the APOE3 gene variant has until now not seemed to have any affect on the risk of Alzheimer’s.

But in 2019, researchers found that a woman in the Colombian family who carried two copies of a specific APO3 variant developed cognitive impairment three decades later than expected.

Most people with the Paisa mutation develop mild cognitive impairment in their 40s, dementia in their 50s and die from dementia complications in their 60s.

But this woman carried the APO3 “Christchurch” variant, and subsequently didn’t develop brain problems until her late 70s.

For the new study, researchers dug into the medical history of the Colombian family to see if any other members benefited from the Christchurch variant.

Analyzing nearly 1,100 descendants of the Colombian family, researchers identified 27 additional members who carried one copy of the Christchurch variant as well as the Paisa mutation.

These 27 family members all experienced delayed onset of dementia and Alzheimer’s.

They began showing signs of cognitive impairment at age 52, on average, compared to age 47 for family members without the Christchurch variant. They also showed signs of dementia four years later than other relatives.

This is important because it shows that preventing Alzheimer’s through the Christchurch variant is possible, said co-senior study author Dr. Joseph Arboleda-Velasquez, an associate scientist at Mass Eye and Ear.

“Our original study told us that protection was possible, and that was an important insight. But if a person needs two copies of a rare genetic variant, it just comes down to luck,"" Arboleda-Velasquez said.

“Our new study is significant because it increases our confidence that this target is not only protective, but druggable,” Arboleda-Velasquez added. “We think that therapeutics inspired by protected humans are much more likely to work and to be safer.”

Brain scans and autopsies showed that people with the Christchurch variant had healthier blood vessels, lower levels of tau protein and preserved activity in brain regions typically involved in Alzheimer’s disease.

Further studies involving larger and more ethnically diverse groups could shed more light on the protective effect of the Christchurch variant, and determine if it could translate into treatments for Alzheimer’s, the researchers concluded.

“As a next step, we are currently focused on improving our understanding of the brain resilience among the remaining family members who carry one copy of the Christchurch variant,” Quiroz said. “This involves conducting structural and functional MRI scans and cognitive evaluations, as well as analyzing blood samples to assess their protein and biomarker profiles.”

More information

The Mayo Clinic has more about the genetics of Alzheimer’s disease.

SOURCE: Mass General Brigham, news release, June 19, 2024"
Another Study Finds CRISPR Gene Therapy Fights Sickle Cell,"By Ernie Mundell HealthDay Reporter

HealthDay

TUESDAY, June 18, 2024 (HealthDay News) -- There's more good news in the battle against sickle cell disease, with another trial finding CRISPR gene-editing therapy delivering impressive results for patients.

“It’s encouraging that this gene-editing treatment continues to show promising efficacy for sickle cell patients,” said study lead investigator Dr. Rabi Hanna. He's chair of the division of pediatric hematology oncology and blood and marrow transplantation at Cleveland Clinic Children’s.

Sickle cell anemia is a painful, inherited genetic disorder which creates misshapen sickle-shaped red blood cells. Over 100,000 Americans are thought to have sickle cell disease, which can shorten life spans and is much more common among Black Americans.

Recent advances in what's known as CRISPR gene-editing technology helps correct the disorder by tweaking the underlying gene abnormality behind it.

The Cleveland Clinic CRISPR approach is called renizgamglogene autogedtemcel (shortened to ""reni-cel""). It's am experimental one-time treatment that uses the patient's own stem cells to correct the genetic abnormality.

Two of the 18 patients in the new trial were treated at the Cleveland Clinic.

In the procedure, patients' stem cells are harvested and then sent for gene editing in the lab. Patients also underwent chemotherapy to make room for the new stem cells to be infused into their bone marrow.

""Following treatment, all patients successfully regained their white blood cells and platelets,"" according to a clinic news release. ""Importantly, all patients have remained free of painful events since treatment, and those followed for five months or greater have seen their anemia resolve.""

The treatment also appeared to have no serious side effects, Hanna's group reported.

""These latest results offer hope that this new experimental treatment will continue to show progress and get us closer to a functional cure for this devastating disease,"" he said.

The findings were presented Thursday at the European Hematology Association 2024 Hybrid Congress (EHA) in Madrid. Such findings should be considered preliminary until published in a peer-reviewed journal.

The trial was funded by gene-editing company Editas Medicine.

More information

Find out more about sickle cell disease at the Sickle Cell Disease Association of America.

SOURCE: Cleveland Clinic, news release, June 14, 2024"
Inherited Alzheimer's: Whether It's From Mom or Dad Could Matter,"By Ernie Mundell HealthDay Reporter

HealthDay

MONDAY, June 17, 2024 (HealthDay News) -- Genetics can play a role in a person's odds for Alzheimer's disease, and new research suggests differences in that risk are based on which parent had the illness.

In a study of 4,400 people still ""cognitively unimpaired,"" there was higher buildup of amyloid protein plaques in the brain (a hallmark of Alzheimer's) if either the person's mother, or both parents, had Alzheimer's, compared to folks where Alzheimer's had only struck the father.

People with an Alzheimer's-affected mother may therefore be at special risk, said a team from Mass General Brigham, in Boston.

""Maternal inheritance of Alzheimer’s disease may be an important factor in identifying asymptomatic individuals for ongoing and future prevention trials,” said study co-author Dr Reisa Sperling, a neurologist at Mass General.

The findings were published June 17 in the journal JAMA Neurology.

The study was based on data from a clinical trial focused on Alzheimer's prevention. People in the study were asked about whether or not either of their parents had ever been diagnosed with Alzheimer's disease, and when their parent's memory began to fail.

Sperling and colleagues then compared those answers to levels of amyloid in people's brains.

Having had a father who developed Alzheimer's symptoms relatively late in life did not seem to be related to levels of amyloid in people's brains, the research showed.

However, there was a correlation between the accumulation of brain plaques and having had a mother whose Alzheimer's symptoms began at any age, or having a father whose symptoms began relatively early, the team reported.

“If your father had early-onset symptoms, that is associated with elevated [amyloid] levels in the offspring,” said study first author Dr. Mabel Seto, a postdoctoral research fellow in the hospital's department of neurology. “However, it doesn’t matter when your mother started developing symptoms -- if she did at all, it’s associated with elevated amyloid.”

The sex of the study participant did not seem to matter when it came to the relationship between amyloid buildup and parental histories, the researchers noted.

“It’s also important to note a majority of these participants are non-Hispanic white,” Seto added in a Brigham news release. “We might not see the same effect in other races and ethnicities.”

More information

Find out more about Alzheimer's disease and genetics at the Alzheimer's Association.

SOURCE: Mass General Brigham, news release, June 15, 2024"
Gene Therapy in Both Ears Restores Hearing to Babies Born Deaf,"By Dennis Thompson HealthDay Reporter

HealthDay

WEDNESDAY, June 5, 2024 (HealthDay News) -- Chlidren born deaf have had their hearing restored in both ears as a result of gene therapy, a new study reports.

All five children showed hearing recovery in both ears, with dramatic improvements in speech perception and the ability to locate the position of a sound.

Two of the children also gained an ability to appreciate music, and were observed dancing to music, researchers added.

“The results from these studies are astounding,” said co-senior researcher Zheng-Yi Chen, an associate scientist in the Eaton-Peabody Laboratories at Mass Eye and Ear.

“We continue to see the hearing ability of treated children dramatically progress and the new study shows added benefits of the gene therapy when administrated to both ears, including the ability for sound source localization and improvements in speech recognition in noisy environments,” Chen added in a Mass Eye and Ear news release.

About 26 million people are born deaf, researchers said in background notes. Up to 60% of childhood deafness is caused by genetic factors.

The children in this study all had DFNB9, an inherited hearing condition caused by mutations in the OTOF gene, researchers said.

The condition prevents the production of functioning otoferlin protein, which is needed in the auditory and nerve mechanisms underlying hearing.

There currently are no drugs available to treat inherited deafness conditions like DFNB9, researchers said.

However, this gene therapy already has been proven to work, with a six-patient trial in 2022 showing recovery of hearing in one ear for five kids.

For this study, researchers wanted to see if the gene therapy could restore hearing in both ears at the same time.

“Restoring hearing in both ears of children who are born deaf can maximize the benefits of hearing recovery,” said lead researcher Dr. Yilai Shu, director of the Diagnosis and Treatment Center of Genetic Hearing Loss affiliated with the Eye & ENT Hospital of Fudan University in Shanghai.

The children received functioning copies of the OTOF gene through injections of a virus into their inner ears, starting in June 2023. The hollowed-out virus carried copies of the healthy gene.

The kids were treated at the Eye & ENT Hospital of Fudan University and observed for either a 13-week or 26-week period.

Researchers were concerned a double-dose of the virus might cause a stronger immune response, increasing the risk of adverse effects. However, no serious toxicity or serious side effects were observed.

The new study was published June 5 in the journal Nature Medicine.

“Our study strongly supports treating children with DFNB9 in both ears, and our hope is this trial can expand and this approach can also be looked at for deafness caused by other genes or non-genetic causes,” Chen said. “Our ultimate goal is to help people regain hearing no matter how their hearing loss was caused.”

More information

Johns Hopkins Medicine has more on hearing loss in children.

SOURCE: Mass Eye and Ear, news release, June 5, 2024"
